"location_name","meal_type","item_name","dietary_traits","serving_size","calories","total_fat","saturated_fat","trans_fat","cholesterol","sodium","total_carbohydrate","dietary_fiber","total_sugars","protein","calcium","iron","potassium"
"Rheta's Market","breakfast","Smoked Ham","corn","1 1 each","15","0.5g","0.3g","0g","6mg","170mg","1g","0g","1g","2g","0mg","0mg","23mg"
"Rheta's Market","breakfast","Provolone Cheese","dairy","1 1 slice","50","5g","3g","0g","10mg","135mg","0g","0g","0g","4g","0mg","0mg","0mg"
"Rheta's Market","breakfast","Spinach","","0.5 cups","13","0.2g","0g","0g","0mg","45mg","2g","1g","0g","2g","56mg","1.5mg","316mg"
"Rheta's Market","breakfast","Sauteed Mushrooms","dairy","1 0.25 cup","56","5g","3.2g","0g","14mg","44mg","2g","1g","1g","2g","2mg","0.3mg","162mg"
"Rheta's Market","breakfast","Roasted Peppers & Onions","","1 0.25 cup","41","3.1g","0.5g","0g","0mg","19mg","4g","1g","2g","1g","7mg","0.2mg","97mg"
"Rheta's Market","breakfast","Sliced Tomato","","3 slice","10","0.1g","0g","0g","0mg","3mg","2g","1g","2g","1g","6.7mg","0.2mg","150mg"
"Rheta's Market","breakfast","Cheddar Cheese","dairy","1 1 slice","82","7g","3.8g","0g","22mg","135mg","0g","0g","0g","5g","149mg","0.1mg","0mg"
"Rheta's Market","breakfast","Pepper Jack Cheese","dairy","1 1 slice","75","6g","3g","0g","19mg","120mg","0g","0g","0g","5g","147mg","0.1mg","0mg"
"Rheta's Market","breakfast","English Muffin","dairy, wheat, soy","1 1 each","180","1.5g","0g","0g","0mg","240mg","32g","1g","1g","6g","195mg","1.8mg","0mg"
"Rheta's Market","breakfast","Plain Bagel","wheat, sesame, corn","1 1 each","230","1g","0g","0g","0mg","430mg","45g","2g","4g","10g","0mg","3.6mg","0mg"
"Rheta's Market","breakfast","Gluten Free Plain Bagel","egg, corn","1 1 each","291","9g","0.5g","0g","0mg","461mg","43g","2g","5g","7g","40mg","0.4mg","0mg"
"Rheta's Market","breakfast","Fried Egg Patty w/ Pepper","dairy, egg, soy","1 1 each","89","8g","1.5g","0g","119mg","104mg","1g","0g","0g","5g","19mg","1mg","61mg"
"Rheta's Market","breakfast","Croissant","dairy, egg, wheat","1 each","150","7g","4g","0g","20mg","150mg","19g","1g","2g","3g","0mg","1mg","0mg"
"Rheta's Market","breakfast","Pork Sausage Patty","corn","2 oz","230","22g","8g","0g","45mg","370mg","1g","0g","0g","7g","0mg","0.4mg","0mg"
"Rheta's Market","breakfast","Vegan Smoked Gouda","coconut, corn","1 1 slice","60","4.5g","4g","0g","0mg","180mg","4g","0g","0g","0g","0mg","0mg","0mg"
"Rheta's Market","breakfast","Veggie Sausage Patty (VN)","wheat, soy, corn","1 1","100","5g","0g","0g","0mg","410mg","5g","2g","1g","9g","40mg","1.4mg","210mg"
"Rheta's Market","breakfast","Chicken Sausage Patty","corn","1.5 oz","80","5g","1.5g","0g","40mg","300mg","1g","0g","0g","7g","0mg","0.4mg","0mg"
"Rheta's Market","breakfast","Bacon","","1 2 slice","79","6g","2.6g","0g","18mg","291mg","0g","0g","0g","5g","0mg","0mg","0mg"
"Rheta's Market","breakfast","Just Eggs Patty","corn","1 each","99","7g","0.5g","0g","0mg","298mg","3g","0g","0g","7g","5mg","0mg","2mg"
"Gordon Avenue Market","breakfast","Avocado Toast","wheat, soy, corn","1 serving","284","18g","2.6g","0g","0mg","271mg","29g","7g","2g","6g","43mg","2.8mg","737mg"
"Gordon Avenue Market","breakfast","Medium Salsa","corn","1 0.125 cup","9","0g","0g","0g","0mg","217mg","3g","1g","2g","0g","0mg","0mg","0mg"
"Gordon Avenue Market","breakfast","Gluten Free Plain Bagel","egg, corn","1 1 each","291","9g","0.5g","0g","0mg","461mg","43g","2g","5g","7g","40mg","0.4mg","0mg"
"Gordon Avenue Market","breakfast","Plain Bagel","wheat, sesame, corn","1 1 each","230","1g","0g","0g","0mg","430mg","45g","2g","4g","10g","0mg","3.6mg","0mg"
"Gordon Avenue Market","breakfast","English Muffin","dairy, wheat, soy","1 1 each","180","1.5g","0g","0g","0mg","240mg","32g","1g","1g","6g","195mg","1.8mg","0mg"
"Gordon Avenue Market","breakfast","Croissant","dairy, egg, wheat","1 1 each","150","7g","4g","0g","20mg","150mg","19g","1g","2g","3g","0mg","1mg","0mg"
"Gordon Avenue Market","breakfast","Smoked Ham","corn","1 1 each","15","0.5g","0.3g","0g","6mg","170mg","1g","0g","1g","2g","0mg","0mg","23mg"
"Gordon Avenue Market","breakfast","Fried Egg Patty w/ Pepper","dairy, egg, soy","1 1 each","89","8g","1.5g","0g","119mg","104mg","1g","0g","0g","5g","19mg","1mg","61mg"
"Gordon Avenue Market","breakfast","Pork Sausage Patty","corn","1 0.25 cup","230","22g","8g","0g","45mg","370mg","1g","0g","0g","7g","0mg","0.4mg","0mg"
"Gordon Avenue Market","breakfast","Cheddar Cheese","dairy","1 1 slice","82","7g","3.8g","0g","22mg","135mg","0g","0g","0g","5g","149mg","0.1mg","0mg"
"Gordon Avenue Market","breakfast","Pepper Jack Cheese","dairy","1 1 slice","75","6g","3g","0g","19mg","120mg","0g","0g","0g","5g","147mg","0.1mg","0mg"
"Gordon Avenue Market","breakfast","Vegan Smoked Gouda","coconut, corn","1 1 slice","60","4.5g","4g","0g","0mg","180mg","4g","0g","0g","0g","0mg","0mg","0mg"
"Gordon Avenue Market","breakfast","Provolone Cheese","dairy","1 1 slice","50","5g","3g","0g","10mg","135mg","0g","0g","0g","4g","0mg","0mg","0mg"
"Gordon Avenue Market","breakfast","Spinach","","1 0.5 cup","13","0.2g","0g","0g","0mg","45mg","2g","1g","0g","2g","56mg","1.5mg","316mg"
"Gordon Avenue Market","breakfast","Sauteed Mushrooms","dairy","1 0.25 cup","56","5g","3.2g","0g","14mg","44mg","2g","1g","1g","2g","2mg","0.3mg","162mg"
"Gordon Avenue Market","breakfast","Roasted Peppers & Onions","","1 0.25 cup","41","3.1g","0.5g","0g","0mg","19mg","4g","1g","2g","1g","7mg","0.2mg","97mg"
"Gordon Avenue Market","breakfast","Sliced Tomato","","1 1 slice","3","0g","0g","0g","0mg","1mg","1g","0g","1g","0g","2mg","0.1mg","45mg"
"Gordon Avenue Market","breakfast","Bacon","","1 2 slice","79","6g","2.6g","0g","18mg","291mg","0g","0g","0g","5g","0mg","0mg","0mg"
"Gordon Avenue Market","breakfast","Just Eggs Patty","corn","1 1 each","99","7g","0.5g","0g","0mg","298mg","3g","0g","0g","7g","5mg","0mg","2mg"
"Gordon Avenue Market","breakfast","Chicken Sausage Patty","corn","1 1 each","80","5g","1.5g","0g","40mg","300mg","1g","0g","0g","7g","0mg","0.4mg","0mg"
"Gordon Avenue Market","breakfast","Veggie Sausage Patty (VN)","wheat, soy, corn","1 1 each","100","5g","0g","0g","0mg","410mg","5g","2g","1g","9g","40mg","1.4mg","210mg"
"Gordon Avenue Market","breakfast","Yogurt Bar","dairy, soy, coconut","1 customer","153","2.9g","1g","0g","7mg","66mg","23g","2g","15g","8g","156mg","0.6mg","177mg"
"Gordon Avenue Market","breakfast","Blue-Banana Smoothie","corn","1 smoothie 16 oz","255","0.6g","0.4g","0g","0mg","68mg","56g","6g","27g","4g","52mg","0.9mg","801mg"
"Gordon Avenue Market","breakfast","Watermelon Slices","","1 slice","34","0.2g","0g","0g","0mg","1mg","9g","1g","7g","1g","8mg","0.3mg","127mg"
"Gordon Avenue Market","breakfast","Oatmeal (VN)","wheat","1 6 oz","74","1.5g","0.2g","0g","0mg","46mg","13g","2g","1g","2g","5mg","0.9mg","2mg"
"Gordon Avenue Market","breakfast","Build Your Own Yogurt Bar","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gordon Avenue Market","breakfast","Chocolate Ice Cream (Soft Serve)","dairy, corn","1 serving","168","6g","3.9g","0g","25mg","118mg","27g","1g","23g","4g","148mg","1.3mg","306mg"
"Gordon Avenue Market","breakfast","Vanilla Ice Cream (Soft Serve)","dairy, corn","1 serving","168","6g","3.9g","0g","25mg","108mg","25g","0g","22g","4g","128mg","0mg","207mg"
"Gordon Avenue Market","breakfast","Muffin Mini Double Chocolate","dairy, egg, wheat","1 each","85","3.8g","0.8g","0g","11mg","58mg","12g","1g","7g","1g","13mg","0.3mg","55mg"
"Gordon Avenue Market","breakfast","Muffin Mini Blueberry","dairy, egg, wheat","1 each","95","2.3g","0.4g","0g","6mg","63mg","18g","0g","7g","1g","18mg","0.3mg","15mg"
"Gordon Avenue Market","breakfast","Glazed Ring Donut","dairy, egg, wheat","1 each","270","12g","5g","0g","0mg","280mg","37g","1g","18g","4g","10mg","1.3mg","50mg"
"Gordon Avenue Market","breakfast","Iced Chocolate Donut Ring","dairy, egg, wheat","1 each","350","18g","9g","0g","15mg","490mg","43g","1g","20g","4g","20mg","1.6mg","110mg"
"Gordon Avenue Market","breakfast","Raspberry Filled Iced Donut","dairy, egg, wheat","1 each","330","16g","8g","0g","0mg","360mg","41g","1g","13g","4g","10mg","1.5mg","70mg"
